State and area,Civilian labor force,,,,Unemployed,,,,,,,
,July,,August,,Number,,,,Percent of labor force,,,
,2024,2025,2024,2025(p),July,,August,,July,,August,
,,,,,2024,2025,2024,2025(p),2024,2025,2024,2025(p)
Lancaster,"298,012","293,115","297,086","291,939","10,555","11,215","11,154","11,986",3.5,3.8,3.8,4.1
Lebanon,"74,975","74,196","74,722","73,850","2,816","3,211","2,945","3,305",3.8,4.3,3.9,4.5
Philadelphia-Camden-Wilmington,"3,318,860","3,314,257","3,302,899","3,301,514","149,468","161,620","152,429","169,342",4.5,4.9,4.6,5.1
Pittsburgh,"1,254,717","1,245,079","1,244,549","1,237,433","52,780","55,136","54,849","57,640",4.2,4.4,4.4,4.7
Reading,"222,404","219,629","220,959","219,041","9,488","10,477","10,051","11,323",4.3,4.8,4.5,5.2
Scranton--Wilkes-Barre,"282,235","279,857","281,254","279,354","13,788","14,617","14,298","15,205",4.9,5.2,5.1,5.4
State College,"73,020","72,264","74,221","73,816","2,537","2,777","2,916","3,110",3.5,3.8,3.9,4.2
Williamsport,"53,269","52,733","53,318","52,821","2,306","2,545","2,458","2,649",4.3,4.8,4.6,5
York-Hanover,"243,209","239,210","242,747","238,672","10,135","10,828","10,421","11,148",4.2,4.5,4.3,4.7
Rhode Island,"597,237","593,588","590,690","591,583","28,074","27,781","29,802","26,645",4.7,4.7,5,4.5
Providence-Warwick,"913,571","911,877","906,810","910,309","44,409","44,939","45,216","43,530",4.9,4.9,5,4.8
South Carolina,"2,575,113","2,613,334","2,555,620","2,580,087","126,872","123,634","125,897","126,146",4.9,4.7,4.9,4.9
Charleston-North Charleston,"452,483","463,886","448,046","455,386","18,803","18,384","19,068","19,170",4.2,4,4.3,4.2
Columbia,"425,932","432,458","422,557","427,666","20,212","19,960","20,316","20,096",4.7,4.6,4.8,4.7
Florence,"93,179","95,594","92,691","94,881","5,072","5,047","4,954","5,051",5.4,5.3,5.3,5.3
Greenville-Anderson-Greer,"483,611","490,923","481,876","485,128","22,160","21,592","21,944","21,838",4.6,4.4,4.6,4.5
Hilton Head Island-Bluffton-Port Royal,"102,229","101,356","100,349","100,025","4,774","4,519","4,662","4,780",4.7,4.5,4.6,4.8
Myrtle Beach-Conway-North Myrtle Beach,"177,792","185,465","174,559","181,227","9,241","9,107","9,302","9,541",5.2,4.9,5.3,5.3
Spartanburg,"179,059","182,301","178,092","180,078","9,662","8,971","9,025","9,007",5.4,4.9,5.1,5
Sumter,"42,281","43,314","41,842","42,723","2,482","2,434","2,596","2,521",5.9,5.6,6.2,5.9
South Dakota,"496,870","497,852","493,368","494,971","8,720","9,313","9,637","11,066",1.8,1.9,2,2.2
Rapid City,"82,975","83,223","82,872","83,176","1,351","1,422","1,563","1,785",1.6,1.7,1.9,2.1
